Producto,Variedad,Volumen (TM),Fecha
AJI,AJI MONTANA/CHAN(COSTA/SELVA),1,01/01/2025
AJI,AJI SECO PANCA,2,01/01/2025
AJO,AJO CRIOLLO O NAPURI,14,01/01/2025
APIO,APIO,2,01/01/2025
ARVEJA,ARVEJA VERDE BLANCA SERRANA,6,01/01/2025
CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,47,01/01/2025
CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,25,01/01/2025
CEBOLLA,CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,207,01/01/2025
CHOCLO,CHOCLO SERRANO TIPO CUZCO,1,01/01/2025
HORTALIZAS CHINAS,KION (COSTA/SELVA),49,01/01/2025
HORTALIZAS CHINAS,FREJOLITO CHINO,9,01/01/2025
LECHUGA,LECHUGA AMERICANA (CRIOLLA/SERRANA),25,01/01/2025
LIMON,LIMON CITRICO BOLSA,20,01/01/2025
OLLUCO,OLLUCO REDONDO (SIN LAVAR/LAVADO),10,01/01/2025
PAPA,PAPA BLANCA/VALLE/OTROS,75,01/01/2025
PEPINILLO,PEPINILLO,3,01/01/2025
TOMATE,TOMATE KATIA,12,01/01/2025
ZAPALLO,ZAPALLO ITALIANO,1,01/01/2025
ZAPALLO,ZAPALLO MACRE(COSTA/SIERRA/SELVA),66,01/01/2025
OTROS PROD.AGRIC.,FIDEOS CHINOS,10,01/01/2025
CARAMBOLA,CARAMBOLA,4,01/01/2025
PEPINO,PEPINO RAYADO O MELON,12,01/01/2025
PLATANOS,PLATANOS BELLACO,24,01/01/2025
MARACUYA,MARACUYA (COSTA),10,01/01/2025
SANDIA,SANDIA,1,01/01/2025
NARANJA,NARANJA VALENCIA (SELVA),1,01/01/2025
NARANJA,NARANJA TANGELO (SELVA),0,01/01/2025
PALTA,PALTA FUERTE (COSTA),10,01/01/2025
PAPAYA,PAPAYA SELVA,4,01/01/2025
MELON,MELON,1,01/01/2025
AJI,AJI AMARILLO SECO,20,02/01/2025
AJI,AJI ESCABECHE FRESCO/ZANAHOR/LISO,11,02/01/2025
AJI,AJI ROCOTO (COSTA/SIERRA/SELVA),114,02/01/2025
AJO,AJO PELADO,8,02/01/2025
ALBAHACA,ALBAHACA,9,02/01/2025
APIO,APIO,71,02/01/2025
ARVEJA,ARVEJA VERDE AMER/MEJ/(CRIOLLA/SERRANA),25,02/01/2025
ARVEJA,ARVEJA VERDE BLANCA SERRANA,21,02/01/2025
BETARRAGA,BETARRAGA (CRIOLLA/SERRANA),32,02/01/2025
CALABAZA,CALABAZA (CRIOLLA/SERRANA),0,02/01/2025
