Producto,Variedad,Precio Min.,Precio Max.,Precio Prom.,Fecha
ACELGA,ACELGA,3.0,4.0,3.38,01/01/2025
AJI,AJI AMARILLO SECO,15.0,16.0,15.5,01/01/2025
AJI,AJI ESCABECHE FRESCO/ZANAHOR/LISO,3.0,3.5,3.25,01/01/2025
AJI,AJI MONTANA/CHAN(COSTA/SELVA),3.0,4.0,3.38,01/01/2025
AJI,AJI SECO PANCA,14.5,16.0,15.38,01/01/2025
AJI,AJI ROCOTO (COSTA/SIERRA/SELVA),1.67,2.22,1.99,01/01/2025
AJI,AJI PAPRIKA,13.0,15.0,14.0,01/01/2025
AJO,AJO PELADO,7.5,8.5,7.88,01/01/2025
AJO,AJO CRIOLLO O NAPURI,8.0,9.0,8.5,01/01/2025
AJO,AJO MORADO/BARRAN/LEGIT/OTROS,10.0,11.0,10.63,01/01/2025
ALBAHACA,ALBAHACA,3.08,3.85,3.47,01/01/2025
ALCACHOFA,ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA,5.5,6.5,6.19,01/01/2025
APIO,APIO,2.0,3.0,2.5,01/01/2025
ARVEJA,ARVEJA VERDE AMER/MEJ/(CRIOLLA/SERRANA),5.0,5.5,5.2,01/01/2025
ARVEJA,ARVEJA VERDE BLANCA SERRANA,4.5,5.0,4.7,01/01/2025
BERENJENA,BERENJENA (CRIOLLA/SERRANA),4.0,5.6,5.0,01/01/2025
BETARRAGA,BETARRAGA (CRIOLLA/SERRANA),0.67,1.33,0.93,01/01/2025
CAIGUA,CAIGUA (SELVA),2.0,2.33,2.17,01/01/2025
CALABAZA,CALABAZA (CRIOLLA/SERRANA),1.25,1.75,1.5,01/01/2025
CAMOTE,CAMOTE AMARILLO/LEGIT/JHONATAN/2001/FUTU,0.7,0.8,0.74,01/01/2025
CAMOTE,CAMOTE MORADO/LEG/MILA/MEJ/PEPIN/PARAMON,1.3,1.8,1.55,01/01/2025
CEBOLLA,CEBOLLA CABEZA BLANCA NACIONAL,0.7,1.0,0.85,01/01/2025
CEBOLLA,CEBOLLA CABEZA ROJA/MAJ/TAMB/LOC/CAM/MIL,1.0,1.2,1.1,01/01/2025
CEBOLLA,CEBOLLA CHINA (CRIOLLA/SERRANA),1.0,1.5,1.33,01/01/2025
COL,COL CORAZON/NENE/(CRIOLLA/SERRANA),0.71,0.86,0.81,01/01/2025
COLIFLOR,COLIFLOR (CRIOLLA/SERRANA),0.57,0.71,0.66,01/01/2025
CULANTRO,CULANTRO (CRIOLLO/SERRANO),3.33,4.0,3.75,01/01/2025
CHOCLO,CHOCLO SERRANO TIPO CUZCO,2.38,2.86,2.68,01/01/2025
ESPARRAGO,ESPARRAGO/VERDE/BLANCO,6.0,8.0,6.75,01/01/2025
ESPINACA,ESPINACA (CRIOLLA/SERRANA),2.0,2.5,2.2,01/01/2025
FREJOL,FREJOL VERDE CANARIO,2.1,2.5,2.28,01/01/2025
HABA,HABA VERDE SERRANA,0.8,1.1,0.95,01/01/2025
HIERBABUENA,HIERBA BUENA (CRIOLLA/SERRANA),1.18,1.41,1.24,01/01/2025
HORTALIZAS CHINAS,JOLANTAU/ORGANICA,9.0,11.0,9.75,01/01/2025
HORTALIZAS CHINAS,COL CHINA/LONGAPA,2.5,3.33,2.81,01/01/2025
